dep,rms_sr,rms_sir,ratio,winner,r,max_variance,variance_peak_day,epidemic_peak_day,delay_variance,A,tau,T,max_deaths
84,0.21986932336870296,0.32008200744889304,1.455782928444918,SR,0.45578292844491797,0.32922179860955375,11,15,4,1.4058624414520824,16.89372637947743,4.404437547723375,1.7142857142857142
85,0.23296151744236568,0.3460614411396794,1.4854875815500064,SR,0.4854875815500063,0.30062794348508626,10,16,6,1.227268000517049,19.68216223029752,7.012222888699572,1.7142857142857142
86,0.2205211311636341,0.27391025004581865,1.2421043217058778,SR,0.2421043217058779,0.28717201166180756,7,12,5,0.8358309649120753,18.540234035815047,14.031166012451349,1.5714285714285714
87,0.17976148664892674,0.25388440769361315,1.412340387401491,SR,0.412340387401491,0.21720116618075797,37,30,-7,0.725380627077582,24.78038476425606,8.887814914025277,1.2857142857142858
88,0.8620259597629215,1.7094416802233987,1.9830512768937232,SR,0.9830512768937232,8.856245795021305,7,11,4,7.125511213290395,18.531559393160624,9.496209264697683,7.571428571428571
89,0.30460449017953434,0.6698499461916919,2.199080997778074,SR,1.199080997778074,0.30410405920609984,15,34,19,2.02058493830101,33.51959114041382,11.231369469011899,2.4285714285714284
90,0.7739534584319651,1.0501983336404244,1.3569269859819908,SR,0.3569269859819908,4.698362861628167,7,12,5,4.5804609603382955,15.152748281261777,10.705608431349026,5.714285714285714
91,1.3811178211089037,4.0641371071023045,2.942643303117468,SR,1.942643303117468,20.68995290423862,12,27,15,14.8073338128235,25.885195920289544,8.480982734884943,15.0
92,2.7633810450541847,7.521868420510175,2.721980174964501,SR,1.721980174964501,71.64117515137922,12,17,5,29.473855795559654,23.906335046394123,8.843320298278586,32.57142857142857
93,2.288012177343235,7.710777689951603,3.370077207764299,SR,2.370077207764299,61.30130074007626,8,20,12,30.790969128816283,22.720809839790462,7.602215727965936,34.285714285714285
94,3.885112832259364,8.894957123319752,2.2894977591029044,SR,1.2894977591029044,121.18591612469163,12,18,6,33.582085924006485,23.46577780508205,8.15849124680195,38.142857142857146
95,2.0938828314131053,4.431585848497618,2.11644404453465,SR,1.1164440445346504,36.60428347163042,7,22,15,18.311338108346263,21.42387149154235,9.58469226610247,22.428571428571427
2A,0.29517152377721406,0.36408997507479207,1.2334861114502205,SR,0.2334861114502205,0.6310832025117737,7,5,-2,1.3557188057774778,13.467325349371931,9.70403759763714,2.2857142857142856
