departement,population,max_deaths,rms_sr,rms_sir,ratio,winner,n_modes_sr,gamma,t_c_gamma,R2_gamma
30,453846.1538461539,3.0,0.16205031589340652,0.28677460750233896,1.7696639831975003,SR,4,0.4168617042951828,90,0.2796121000303097
31,453846.1538461539,2.142857142857143,0.1278927599078151,0.2461145379695573,1.9243821006517983,SR,4,1.5272250109429124,55,0.6786410879705006
32,453846.1538461539,1.0,0.05198869358527355,0.21641407217365613,4.162714183588529,SR,4,1.8578936356864046,52,0.6414817951628784
34,453846.1538461539,4.285714285714286,0.1887710843639874,0.3741657024665751,1.9821134350487217,SR,4,1.8331566647736246,49,0.6110268708383677
46,453846.1538461539,1.5714285714285714,0.11047430899315216,0.33068464451393853,2.993317156972996,SR,4,0.4159760981129042,94,0.6992199361629629
65,453846.1538461539,1.0,0.08023220986565853,0.21563886099281376,2.6876844269138447,SR,4,1.53239628479864,60,0.576908925332865
66,453846.1538461539,1.1428571428571428,0.058741068340586816,0.22271016285365583,3.791387680631874,SR,4,0.7874397925866454,45,0.4496374421544986
81,453846.1538461539,1.1428571428571428,0.05505421815251808,0.21759377729456936,3.9523543262709477,SR,4,1.5157169566738034,59,0.9042820601472973
44,760000.0,4.428571428571429,0.22603084145430155,0.5468866227405171,2.4195221290236426,SR,4,2.6929336438186415,47,0.6603439241090074
49,760000.0,4.142857142857143,0.2308967310100173,0.5058900384376073,2.190979648021347,SR,4,1.738125707263346,51,0.6386547858719601
53,760000.0,1.5714285714285714,0.10041776485602108,0.28306928847958707,2.818916442578179,SR,4,0.11878703417621043,73,0.04794542948615317
72,760000.0,2.2857142857142856,0.1326028773500717,0.3312024242667637,2.4977016403074654,SR,4,2.6536928256473673,49,0.7941181734931944
85,760000.0,1.7142857142857142,0.09776621502008347,0.3374331239471287,3.45142873617243,SR,4,1.7950787166644855,52,0.6592408864204524
06,850000.0,4.714285714285714,0.21751310796369389,0.4358312383240476,2.0037010293503514,SR,4,1.6027969036025056,52,0.6458666569009714
13,850000.0,16.857142857142858,0.4886999510846074,1.5290806739270375,3.1288742111257375,SR,4,0.3532621469337931,85,0.3420970192926185
83,850000.0,4.714285714285714,0.17375830102642462,0.35600065609835957,2.0488267552997086,SR,4,0.16741133023387716,80,0.09655951053254216
84,850000.0,1.7142857142857142,0.09281418349642931,0.31920213966918254,3.4391525911711835,SR,4,1.7177187364491706,50,0.8860824850078143
